ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,abs_err_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
188.657,da3_marker_red,red,nan,nan,227,126,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054499626159668,7.132557392120361,nan,nan,nan,7.054499626159668,1.2165008783340454,0.6799562573432922,0,0
188.657,da3_marker_purple,purple,nan,nan,230,137,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054501056671143,7.0846099853515625,nan,nan,nan,7.054501056671143,1.0965007543563843,0.17995625734329224,0,0
188.657,da3_marker_green,green,nan,nan,232,131,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054502487182617,7.1325602531433105,nan,nan,nan,7.054502487182617,0.9965008497238159,0.45995622873306274,0,0
188.657,da3_marker_cyan,cyan,nan,nan,211,120,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054489612579346,7.132547378540039,nan,nan,nan,7.054489612579346,1.996500849723816,0.9799562096595764,0,0
188.657,da3_marker_yellow,yellow,nan,nan,238,131,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054506301879883,7.132565021514893,nan,nan,nan,7.054506301879883,0.6965008974075317,0.4799562096595764,0,0
188.657,da3_marker_orange,orange,nan,nan,221,135,nan,4.6986995758986684e-77,1.2730326831468165e-69,-0.0007435412652091131,7.054495334625244,7.132554531097412,nan,nan,nan,7.054495334625244,1.5365008115768433,0.2599563002586365,0,0
188.687,da3_marker_red,red,nan,nan,227,126,nan,-6.163899878943946e-77,5.4859029548211746e-70,-0.0007435412652091131,7.054499626159668,7.132557392120361,nan,nan,nan,7.054499626159668,1.2165008783340454,0.6796998381614685,0,0
188.687,da3_marker_purple,purple,nan,nan,230,137,nan,-6.163899878943946e-77,5.4859029548211746e-70,-0.0007435412652091131,7.054501056671143,7.084733009338379,nan,nan,nan,7.054501056671143,1.0965007543563843,0.1796998381614685,0,0
188.687,da3_marker_green,green,nan,nan,232,131,nan,-6.163899878943946e-77,5.4859029548211746e-70,-0.0007435412652091131,7.054502487182617,7.1325602531433105,nan,nan,nan,7.054502487182617,0.9965008497238159,0.459699809551239,0,0
188.687,da3_marker_cyan,cyan,nan,nan,211,120,nan,-6.163899878943946e-77,5.4859029548211746e-70,-0.0007435412652091131,7.054489612579346,7.132547378540039,nan,nan,nan,7.054489612579346,1.996500849723816,0.9796997904777527,0,0
188.687,da3_marker_yellow,yellow,nan,nan,238,131,nan,-6.163899878943946e-77,5.4859029548211746e-70,-0.0007435412652091131,7.054506301879883,7.132565021514893,nan,nan,nan,7.054506301879883,0.6965008974075317,0.4796997904777527,0,0
