ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,abs_err_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
4252.157,da3_marker_red,red,199.23749999999998,110.44444444444444,200,111,0.9434236722219078,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.394834280014038,3.3898346424102783,5.21875,1.823915719985962,0.0,3.394834280014038,1.2176545858383179,0.6830516457557678,45,1
4252.157,da3_marker_purple,purple,204.35625,131.83333333333334,205,133,1.3324883390150564,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.394838333129883,3.3898367881774902,5.23046875,1.8356304168701172,0.0,3.394838333129883,1.0976544618606567,0.1830516755580902,36,1
4252.157,da3_marker_green,green,208.6875,119.77777777777779,209,121,1.2615400946834023,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.394836902618408,3.3898367881774902,5.22265625,1.8278193473815918,0.0,3.394836902618408,0.9976546168327332,0.4630516469478607,45,1
4252.157,da3_marker_cyan,cyan,165.42635869565217,97.94927536231884,166,99,1.1971159552374524,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.3948285579681396,3.3898303508758545,5.2109375,1.8161089420318604,0.0,3.3948285579681396,1.9976545572280884,0.983051598072052,46,1
4252.157,da3_marker_yellow,yellow,221.68125,119.0,222,120,1.0495720854233865,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.394838333129883,3.389838218688965,5.21875,1.8239116668701172,0.0,3.394838333129883,0.697654664516449,0.4830516278743744,52,1
4252.157,da3_marker_orange,orange,185.45624999999998,128.33333333333334,186,129,0.8602955927728855,-7.405305936776534e-23,0.0003786888752055226,-0.00029060121559845487,3.3948354721069336,3.389834403991699,5.234375,1.8395395278930664,0.0,3.3948354721069336,1.5376545190811157,0.26305171847343445,52,1
4252.207,da3_marker_red,red,199.23749999999998,110.44444444444444,200,111,0.9434236722219078,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.3948347568511963,3.3898353576660156,5.265625,1.8707902431488037,0.046875,3.3948347568511963,1.2176545858383179,0.6826997399330139,45,1
4252.207,da3_marker_purple,purple,204.35625,131.83333333333334,205,133,1.3324883390150564,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.394840955734253,3.3898396492004395,5.28515625,1.890315294265747,0.0546875,3.394840955734253,1.0976544618606567,0.1826997548341751,36,1
4252.207,da3_marker_green,green,208.6875,119.77777777777779,209,121,1.2615400946834023,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.394838333129883,3.3898379802703857,5.26171875,1.8668804168701172,0.0390625,3.394838333129883,0.9976546168327332,0.4626997113227844,45,1
4252.207,da3_marker_cyan,cyan,165.42635869565217,97.94927536231884,166,99,1.1971159552374524,-6.627748813659328e-23,0.0006208418110230201,-0.0002906012155984545,3.3948276042938232,3.389829397201538,5.265625,1.8707973957061768,0.0546875,3.3948276042938232,1.9976545572280884,0.9826996922492981,46,1
