ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
2014.096,da3_portrait_marker_red,red,nan,nan,241,136,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.329122543335,10,nan,nan,nan,20.329122543335,1.60564613342285,0.560682833194733,0,0,,,,
2014.096,da3_portrait_marker_purple,purple,nan,nan,248,138,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.3671474456787,10,nan,nan,nan,20.3671474456787,0.606369495391846,0.279322475194931,0,0,,,,
2014.096,da3_portrait_marker_green,green,nan,nan,245,131,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.3519458770752,10,nan,nan,nan,20.3519458770752,1.00608015060425,1.27932250499725,0,0,,,,
2014.096,da3_portrait_marker_cyan,cyan,nan,nan,244,135,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.3481369018555,10,nan,nan,nan,20.3481369018555,1.10600781440735,0.729322552680969,0,0,,,,
2014.096,da3_portrait_marker_yellow,yellow,nan,nan,249,134,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.3747596740723,10,nan,nan,nan,20.3747596740723,0.406513869762421,0.929322361946106,0,0,,,,
2014.096,da3_portrait_marker_orange,orange,nan,nan,253,137,nan,3.8825130390424E-18,-0.000497752045047593,-92.1794901799925,20.3937702178955,10,nan,nan,nan,20.3937702178955,-0.0931243896484375,0.479322165250778,0,0,,,,
2014.131,da3_portrait_marker_red,red,nan,nan,241,136,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3291187286377,10,nan,nan,nan,20.3291187286377,1.60564589500427,0.560573518276215,0,0,,,,
2014.131,da3_portrait_marker_purple,purple,nan,nan,248,138,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3671436309814,10,nan,nan,nan,20.3671436309814,0.606369256973267,0.279212981462479,0,0,,,,
2014.131,da3_portrait_marker_green,green,nan,nan,245,131,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3519458770752,10,nan,nan,nan,20.3519458770752,1.00607991218567,1.27921307086945,0,0,,,,
2014.131,da3_portrait_marker_cyan,cyan,nan,nan,244,135,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3481349945068,10,nan,nan,nan,20.3481349945068,1.10600757598877,0.729213178157806,0,0,,,,
2014.131,da3_portrait_marker_yellow,yellow,nan,nan,249,134,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3747596740723,10,nan,nan,nan,20.3747596740723,0.406513631343842,0.929212868213654,0,0,,,,
2014.131,da3_portrait_marker_orange,orange,nan,nan,253,137,nan,6.7458664057218E-18,-0.00078935170566186,-92.1794901799925,20.3937664031982,10,nan,nan,nan,20.3937664031982,-0.0931246280670166,0.479212552309036,0,0,,,,
2014.169,da3_portrait_marker_red,red,nan,nan,241,136,nan,9.41509412089283E-18,-0.00104644216548149,-92.1794901799924,20.3291168212891,10,nan,nan,nan,20.3291168212891,1.60564565658569,0.560541450977325,0,0,,,,
