ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
1004.016,da3_elev_marker_red,red,nan,nan,201,133,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,13.0769710540771,10,nan,nan,nan,13.0769710540771,4.58132839202881,0.687529683113098,0,0,,,,
1004.016,da3_elev_marker_purple,purple,nan,nan,203,141,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,13.0720520019531,10,nan,nan,nan,13.0720520019531,4.43140935897827,-0.0624703168869019,0,0,,,,
1004.016,da3_elev_marker_green,green,nan,nan,259,135,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,12.906439781189,10,nan,nan,nan,12.906439781189,-0.615874171257019,0.467529654502869,0,0,,,,
1004.016,da3_elev_marker_cyan,cyan,nan,nan,261,129,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,12.9015207290649,10,nan,nan,nan,12.9015207290649,-0.765793561935425,0.987529635429382,0,0,,,,
1004.016,da3_elev_marker_yellow,yellow,nan,nan,232,119,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,12.9867858886719,10,nan,nan,nan,12.9867858886719,1.83280825614929,1.88752973079681,0,0,,,,
1004.016,da3_elev_marker_orange,orange,nan,nan,235,139,nan,1.32369843616989E-23,1.0000491520151E-09,91.8793231849253,12.9769477844238,10,nan,nan,nan,12.9769477844238,1.53296947479248,0.0875296592712402,0,0,,,,
1004.046,da3_elev_marker_red,red,nan,nan,201,133,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,13.0769710540771,10,nan,nan,nan,13.0769710540771,4.58132839202881,0.687746167182922,0,0,,,,
1004.046,da3_elev_marker_purple,purple,nan,nan,203,141,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,13.0720520019531,10,nan,nan,nan,13.0720520019531,4.43140935897827,-0.0622538328170776,0,0,,,,
1004.046,da3_elev_marker_green,green,nan,nan,259,135,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,12.906439781189,10,nan,nan,nan,12.906439781189,-0.615874171257019,0.467746138572693,0,0,,,,
1004.046,da3_elev_marker_cyan,cyan,nan,nan,261,129,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,12.9015207290649,10,nan,nan,nan,12.9015207290649,-0.765793561935425,0.987746119499207,0,0,,,,
1004.046,da3_elev_marker_yellow,yellow,nan,nan,232,119,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,12.9867858886719,10,nan,nan,nan,12.9867858886719,1.83280825614929,1.88774621486664,0,0,,,,
1004.046,da3_elev_marker_orange,orange,nan,nan,235,139,nan,1.3792382306945E-23,1.00710773912258E-09,91.8793231849253,12.9769477844238,10,nan,nan,nan,12.9769477844238,1.53296947479248,0.0877461433410645,0,0,,,,
1004.121,da3_elev_marker_red,red,nan,nan,201,133,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,13.0769710540771,10,nan,nan,nan,13.0769710540771,4.58132839202881,0.68796718120575,0,0,,,,
1004.121,da3_elev_marker_purple,purple,nan,nan,203,141,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,13.0720520019531,10,nan,nan,nan,13.0720520019531,4.43140935897827,-0.0620328187942505,0,0,,,,
1004.121,da3_elev_marker_green,green,nan,nan,259,135,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,12.906439781189,10,nan,nan,nan,12.906439781189,-0.615874171257019,0.46796715259552,0,0,,,,
1004.121,da3_elev_marker_cyan,cyan,nan,nan,261,129,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,12.9015207290649,10,nan,nan,nan,12.9015207290649,-0.765793561935425,0.987967133522034,0,0,,,,
1004.121,da3_elev_marker_yellow,yellow,nan,nan,232,119,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,12.9867858886719,10,nan,nan,nan,12.9867858886719,1.83280825614929,1.88796722888947,0,0,,,,
1004.121,da3_elev_marker_orange,orange,nan,nan,235,139,nan,1.3514683334322E-23,9.84393392348936E-10,91.8793231849253,12.9769477844238,10,nan,nan,nan,12.9769477844238,1.53296947479248,0.0879671573638916,0,0,,,,
1004.154,da3_elev_marker_red,red,nan,nan,201,133,nan,1.29592853890759E-23,9.35333063158287E-10,91.8793231849253,13.0769710540771,10,nan,nan,nan,13.0769710540771,4.58132839202881,0.688096344470978,0,0,,,,
