ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_raw_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected
721.088,da3_marker_yellow,yellow,219.7125,117.83333333333333,221,119,1.737460031514713,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1939802169799805,2.20998709859848,2.065108435012454,0.02969193458557129,1.0136850529670718,1.1585637165530978,0.029014110565185547,3.2236721515655518,0.6981430053710938,0.4828113317489624,52,1
721.088,da3_marker_orange,orange,181.9125,127.6548463356974,183,129,1.729767218612587,9.183858594836452e-255,-2.330351488473884e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.2060694694519043,2.216037769460678,2.070498387503126,0.017601490020751953,1.0076331900119784,1.15317257196953,0.029014110565185547,3.2236709594726562,1.5381429195404053,0.26281142234802246,47,1
721.121,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1383697986602783,2.1821540842294693,2.0405141015136348,0.08530163764953613,1.0415173520803451,1.1831573347961797,0.06044602394104004,3.2236714363098145,1.2181429862976074,0.6825746893882751,47,1
721.121,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.143205404281616,2.1845743048429487,2.042639699424938,0.08046627044677734,1.0390973698854449,1.1810319753034557,0.06286406517028809,3.2236716747283936,1.0981428623199463,0.18257468938827515,47,1
721.121,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1383697986602783,2.1821540842294693,2.0405141015136348,0.08530187606811523,1.0415175904989242,1.1831575732147588,0.058028221130371094,3.2236716747283936,0.9981429576873779,0.46257466077804565,47,1
721.121,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.143205404281616,2.1845743048429487,2.042639699424938,0.08046507835388184,1.0390961777925494,1.1810307832105602,0.05561041831970215,3.223670482635498,1.998142957687378,0.9825746417045593,52,1
721.121,da3_marker_yellow,yellow,219.7125,117.83333333333333,221,119,1.737460031514713,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1335339546203613,2.179733744287491,2.0383908757193385,0.09013819694519043,1.0439384072780609,1.1852812758462132,0.06044626235961914,3.2236721515655518,0.6981430053710938,0.4825746417045593,52,1
721.121,da3_marker_orange,orange,181.9125,127.6548463356974,183,129,1.729767218612587,6.953572788786699e-255,-3.718158745530861e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1407876014709473,2.183364194536209,2.041576590877284,0.08288335800170898,1.0403067649364472,1.1820943685953722,0.06528186798095703,3.2236709594726562,1.5381429195404053,0.2625747323036194,47,1
721.137,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1214447021484375,2.173683073425293,2.033093804492764,0.10222673416137695,1.0499883628845215,1.1905776318170505,0.01692509651184082,3.2236714363098145,1.2181429862976074,0.6821853518486023,47,1
721.137,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1286983489990234,2.177313523674011,2.0362702314021828,0.09497332572937012,1.0463581510543825,1.1874014433262108,0.014507055282592773,3.2236716747283936,1.0981428623199463,0.1821853518486023,47,1
721.137,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1214447021484375,2.173683073425293,2.033093804492764,0.10222697257995605,1.0499886013031006,1.1905778702356296,0.01692509651184082,3.2236716747283936,0.9981429576873779,0.4621853232383728,47,1
721.137,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1286983489990234,2.177313523674011,2.0362702314021828,0.09497213363647461,1.046356958961487,1.1874002512333153,0.014507055282592773,3.223670482635498,1.998142957687378,0.9821853041648865,52,1
721.137,da3_marker_yellow,yellow,220.0247844827586,117.91379310344827,221,119,1.4597570781417506,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.2236721515655518,3.218672752380371,3.1190268993377686,2.172472963118553,2.032036268723262,0.1046452522277832,1.0511991884469989,1.1916358828422897,0.014507055282592773,3.2236721515655518,0.6981430053710938,0.4821853041648865,58,1
721.137,da3_marker_orange,orange,181.9125,127.6548463356974,183,129,1.729767218612587,4.762414803895714e-255,-4.852687780923773e-236,-7.61738175912992e-05,3.2236709594726562,3.218672513961792,3.1286983489990234,2.177313523674011,2.0362702314021828,0.09497261047363281,1.0463574357986452,1.1874007280704735,0.012089252471923828,3.2236709594726562,1.5381429195404053,0.26218539476394653,47,1
721.171,da3_marker_red,red,196.1880319148936,108.88888888888889,197,110,1.376175887183731,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.2236714363098145,3.218672752380371,3.1093554496765137,2.167632402563095,2.0278122134768726,0.11431598663330078,1.0560390337467194,1.1958592228329419,0.012089252471923828,3.2236714363098145,1.2181429862976074,0.6817694902420044,47,1
721.171,da3_marker_purple,purple,201.70053191489365,131.44444444444446,203,132,1.4132442391598858,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.2236716747283936,3.218672275543213,3.1117732524871826,2.1688425128698348,2.028867272449301,0.11189842224121094,1.0548291618585588,1.1948044022790927,0.01692509651184082,3.2236716747283936,1.0981428623199463,0.1817694902420044,47,1
721.171,da3_marker_green,green,206.325,118.90070921985816,207,120,1.2899865190399766,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.2236716747283936,3.218672513961792,3.1069376468658447,2.166422292256355,2.026757773688449,0.11673402786254883,1.0572493824720386,1.1969139010399448,0.014507055282592773,3.2236716747283936,0.9981429576873779,0.4617694616317749,47,1
721.171,da3_marker_cyan,cyan,161.04375,95.66666666666667,162,96,1.0126821681115599,2.608521410584507e-255,-5.726832169587554e-236,-7.61738175912992e-05,3.223670482635498,3.2186713218688965,3.1166090965270996,2.171262852811813,2.030979352137764,0.10706138610839844,1.0524076298236849,1.192691130497734,0.012089252471923828,3.223670482635498,1.998142957687378,0.9817694425582886,52,1
