ts,marker_id,color,det_u,det_v,gt_u,gt_v,pixel_err_px,roll_deg,pitch_deg,yaw_deg,gt_depth_geom_m,gt_depth_img_m,da3_depth_m,da3_lin_m,da3_quad_m,err_raw_m,err_lin_m,err_quad_m,jitter_m,gt_x_cam_m,gt_y_cam_m,gt_z_cam_m,blob_area_px,detected,da3_depth_median,da3_depth_smoothed,gt_diff,da3_orig_diff,da3_smoothed_diff
1078.731,da3_elev_marker_cyan,cyan,313.81875,138.444444444444,267,122,49.6227277026255,-4.2222329311112804e-17,0.0014283420663767,91.8793231849237,7.69133901596069,7.68552875518799,4.828125,3.0278765625,2.9340660546875,2.86321401596069,4.66346245346069,4.75727296127319,0.0,7.69133901596069,-0.765793681144714,0.979777097702026,30.0,1.0,4.828125,4.828125,,,
1078.764,da3_elev_marker_cyan,cyan,295.70625,138.444444444444,267,122,33.0827529409044,-3.33896122099255e-17,0.0038510359988228,91.8793231849238,7.68751001358032,7.68166542053223,4.9453125,3.08652890625,3.00724979492188,2.74219751358032,4.60098110733032,4.68026021865845,0.1171875,7.68751001358032,-0.765793681144714,0.979943215847015,50.0,1.0,4.88671875,4.845703125,-0.0038290023803702056,0.1171875,0.017578125
1079.064,da3_elev_marker_cyan,cyan,333.1125,138.444444444444,267,122,68.1269580220372,-9.801404180867239e-16,0.0030814010509211,91.8793231849238,7.65753889083862,7.6484489440918,4.7578125,2.99268515625,2.89085401367188,2.89972639083862,4.66485373458862,4.76668487716675,0.1875,7.65753889083862,-0.765793561935425,0.979008674621582,505.0,1.0,4.828125,4.8404296874999995,-0.02997112274169922,-0.1875,-0.005273437500000533
1079.131,da3_elev_marker_cyan,cyan,324.84375,138.444444444444,267,122,60.1358392903011,-1.2315332493645e-15,0.024590776759806,91.8793231849239,7.64976835250855,7.64123821258545,4.70703125,2.967269140625,2.85997098388672,2.94273710250855,4.68249921188355,4.78979736862183,0.05078125,7.64976835250855,-0.765793800354004,0.981846392154694,440.0,1.0,4.79296875,4.8261914062499995,-0.007770538330070131,-0.05078125,-0.014238281249999929
1079.398,da3_elev_marker_cyan,cyan,333.9,138.444444444444,267,122,68.8914345407789,-1.0886566596421e-15,0.0046177404150657,91.8793231849239,7.62070178985596,7.61133813858032,4.6484375,2.93794296875,2.82467612304688,2.97226428985596,4.68275882110596,4.79602566680908,0.05859375,7.62070178985596,-0.765793681144714,0.979125022888184,545.0,1.0,4.7578125,4.805677734374999,-0.029066562652590555,-0.05859375,-0.020513671875000306
1079.432,da3_elev_marker_cyan,cyan,326.41875,138.444444444444,267,122,61.6523122408959,-9.7062832953267e-16,0.0217303096562263,91.8793231849239,7.61677551269531,7.60757064819336,4.703125,2.9653140625,2.8576066796875,2.91365051269531,4.65146145019531,4.75916883300781,0.0546875,7.61677551269531,-0.765793800354004,0.981561422348023,450.0,1.0,4.732421875,4.783700976562499,-0.00392627716064986,0.0546875,-0.021976757812500303
1079.464,da3_elev_marker_cyan,cyan,329.175,138.444444444444,267,122,64.3129098866349,-8.70459446556878e-16,0.0132387795961534,91.8793231849238,7.61328411102295,7.60424327850342,4.72265625,2.975089453125,2.86944436279297,2.89062786102295,4.63819465789795,4.74383974822998,0.01953125,7.61328411102295,-0.765793740749359,0.980539739131928,485.0,1.0,4.72265625,4.765387558593749,-0.0034914016723597285,0.01953125,-0.0183134179687503
1080.031,da3_elev_marker_cyan,cyan,335.86875,138.444444444444,267,122,70.804833730819,-1.84535846082766e-15,0.0069151877883314,91.8793231849241,7.55326223373413,7.5455846786499,4.73046875,2.978999609375,2.87419074951172,2.82279348373413,4.57426262435913,4.67907148422241,0.0078125,7.55326223373413,-0.765793800354004,0.980481207370758,560.0,1.0,4.7265625,4.753740041015623,-0.060021877288820136,0.0078125,-0.01164751757812521
1080.598,da3_elev_marker_cyan,cyan,318.9375,138.444444444444,267,122,54.4786532445179,-5.91695023403207e-16,-0.0200629696212973,91.8793231849242,7.49191474914551,7.4856128692627,4.55859375,2.892976171875,2.77126362060547,2.93332099914551,4.59893857727051,4.72065112854004,0.171875,7.49191474914551,-0.765793800354004,0.978575646877289,335.0,1.0,4.72265625,4.744414903710936,-0.06134748458862038,-0.171875,-0.009325137304687203
1080.632,da3_elev_marker_cyan,cyan,315.39375,138.444444444444,267,122,51.1113959127407,-5.96354027105898e-16,-0.0163670305087488,91.8793231849242,7.48806285858154,7.48180913925171,4.57421875,2.900796484375,2.78049133544922,2.91384410858154,4.58726637420654,4.70757152313233,0.015625,7.48806285858154,-0.765793800354004,0.97929859161377,290.0,1.0,4.71484375,4.735543557597655,-0.0038518905639692846,0.015625,-0.00887134611328122
