agent_type,trial,completed,time,steps,total_reward,avg_reward_per_step,final_progress,final_discovered,collisions,discovery_rate
frontier,1,True,2.77592396736145,40,146.0,3.65,1.0,92,0,2.3
frontier,2,True,0.21191883087158203,44,146.0,3.3181818181818183,1.0,92,0,2.090909090909091
frontier,3,True,0.14231443405151367,55,146.0,2.6545454545454548,1.0,92,0,1.6727272727272726
frontier,4,True,0.12659764289855957,44,145.0,3.2954545454545454,1.0,92,0,2.090909090909091
frontier,5,True,0.11009597778320312,44,146.0,3.3181818181818183,1.0,92,0,2.090909090909091
frontier,6,True,0.10233712196350098,42,145.0,3.4523809523809526,1.0,92,0,2.1904761904761907
frontier,7,True,0.08737850189208984,40,146.0,3.65,1.0,92,0,2.3
frontier,8,True,0.0955345630645752,47,145.0,3.0851063829787235,1.0,92,0,1.9574468085106382
frontier,9,True,0.1067659854888916,60,147.0,2.45,1.0,92,0,1.5333333333333334
frontier,10,True,0.07434511184692383,42,146.0,3.4761904761904763,1.0,92,0,2.1904761904761907
dqn,1,True,2.0414810180664062,30,146.0,4.866666666666666,1.0,92,0,3.066666666666667
dqn,2,True,0.08890533447265625,28,146.0,5.214285714285714,1.0,92,0,3.2857142857142856
dqn,3,True,0.06885862350463867,28,145.0,5.178571428571429,1.0,92,0,3.2857142857142856
dqn,4,True,0.08938002586364746,29,147.0,5.068965517241379,1.0,92,0,3.1724137931034484
dqn,5,True,0.08392858505249023,28,146.0,5.214285714285714,1.0,92,0,3.2857142857142856
dqn,6,True,0.0864109992980957,32,146.9,4.590625,1.0,92,1,2.875
dqn,7,True,0.08233904838562012,28,145.0,5.178571428571429,1.0,92,0,3.2857142857142856
dqn,8,True,0.10786628723144531,32,147.0,4.59375,1.0,92,0,2.875
dqn,9,True,0.07816696166992188,28,146.0,5.214285714285714,1.0,92,0,3.2857142857142856
dqn,10,True,0.08459186553955078,28,146.0,5.214285714285714,1.0,92,0,3.2857142857142856
