t_sec,x,y,z
1763913430.567645,6.0810253738812365,-4.665653914486854,908.0266790483079
1763913430.625085,6.080764541770684,-4.665373278660566,907.6584429401083
1763913430.680993,6.080503420968766,-4.665094574735624,907.290199264714
1763913430.737205,6.0802422002399945,-4.6648171934034695,906.921940529929
1763913430.790953,6.079980490680115,-4.664540664658285,906.5536758095813
1763913430.848471,6.079718679624394,-4.664264689811642,906.1854022672934
1763913430.901293,6.0794568119601955,-4.663989420662659,905.8171227563863
1763913430.955114,6.079194689908225,-4.663713755237457,905.4488419277978
1763913431.010692,6.078932341234154,-4.6634378493326665,905.0805535319865
1763913431.064186,6.078670473578123,-4.66316188257848,904.7122575699956
1763913431.118697,6.078408659587372,-4.662885373043925,904.3439540407351
1763913431.172369,6.0781480114696125,-4.662609082149044,903.9756429443544
1763913431.227495,6.077888969218527,-4.662333730172216,903.6073242809649
1763913431.295078,6.077630782681101,-4.662059993301355,903.2389980503528
1763913431.360634,6.077373903434232,-4.661788525918949,902.870664252527
1763913431.427416,6.077117918170413,-4.661518384220791,902.5023228876183
1763913431.499425,6.076861926760755,-4.661250187311637,902.1339739557475
1763913431.567478,6.076605942272772,-4.660983955013649,901.7656175447423
1763913431.633802,6.076349976706533,-4.660719062066406,901.3972538078838
1763913431.702356,6.076094038137407,-4.660454559643592,901.0288827474637
1763913431.766963,6.075838114618963,-4.6601910656965915,900.6605043636309
1763913431.836344,6.075582179515394,-4.659930150925806,900.2921186569629
1763913431.891265,6.0753262190836175,-4.659671144619514,899.9237256263888
1763913431.946229,6.075070211327321,-4.659413631751793,899.5553252725879
1763913432.002728,6.074814109069179,-4.659159382901613,899.1869175952721
1763913432.058901,6.074557875187058,-4.658908299947722,898.8185025944879
1763913432.114394,6.07430148566122,-4.658658084828882,898.4500802703376
1763913432.169558,6.074044885779067,-4.6584092769959815,898.0816506226721
1763913432.2267,6.073788020282647,-4.658161812094806,897.7132136518546
1763913432.293883,6.073531407487234,-4.657914207033353,897.3447768130651
1763913432.359455,6.0732749767718,-4.657667014710181,896.9763311213551
1763913432.424961,6.0730182848598995,-4.657421249141819,896.6078645590685
1763913432.500687,6.07276169005811,-4.65717679301225,896.2393922513781
1763913432.570327,6.072504891158693,-4.656932861741002,895.8709188095507
1763913432.639905,6.072247335021062,-4.656690549668865,895.5024380443479
1763913432.695159,6.071989488991642,-4.656450503654469,895.1339574262439
1763913432.747394,6.0717318364642185,-4.656211155219109,894.7654755130742
1763913432.801806,6.071475034905567,-4.655974047326726,894.3969862764545
1763913432.854196,6.071219611712079,-4.655739918565599,894.0284821877874
1763913432.906741,6.070966090747201,-4.655507274454404,893.6599647692407
1763913432.958953,6.070714747380762,-4.655277136262799,893.2914402707654
1763913433.013202,6.070465421563639,-4.655047730823303,892.9229086924084
1763913433.065625,6.070217942261298,-4.654818244867842,892.554370034216
1763913433.119675,6.069972116651226,-4.654590090334933,892.1858242970452
1763913433.173636,6.069727768732252,-4.654362443156102,891.8172714797412
1763913433.228608,6.0694841403297275,-4.654135515019082,891.4487190109925
1763913433.284691,6.069241031722967,-4.653910915699728,891.0801578458271
1763913433.337103,6.068998033988411,-4.6536902384355985,890.7115833506056
1763913433.389406,6.068754515022343,-4.653473151618283,890.3430017753906
1763913433.443123,6.068510301442736,-4.653258962652403,889.9744131209083
1763913433.495446,6.068265196753174,-4.6530491764505415,889.6058173865065
1763913433.549069,6.0680195954441,-4.65284266619458,889.2372070735992
1763913433.603636,6.067773311231158,-4.652638468449754,888.868591136463
1763913433.655633,6.067525773893161,-4.652437357705173,888.4999817542129
1763913433.708786,6.067277231968684,-4.652238993471712,888.1313636830635
1763913433.761042,6.067027836077997,-4.6520431600721395,887.7627247831783
1763913433.814981,6.066776908767867,-4.651850729016645,887.3940803319878
1763913433.866749,6.066524457057905,-4.651660082327743,887.0254349906843
1763913433.919441,6.066270710855358,-4.651470878073077,886.6567825695548
