t_sec,x,y,z
1763912764.552157,12.98016338674566,3.263325995814847,0.14798722212443607
1763912764.625912,12.98016439045073,3.263325995835356,0.14798722228886987
1763912764.693442,12.98016439045073,3.263325995835356,0.14798722228886987
1763912764.761882,12.98016439045073,3.263325995835356,0.14798722228886987
1763912764.834888,12.98016439045073,3.263325995835356,0.14798722228886987
1763912764.920774,12.98016439045073,3.263325995835356,0.14798722228886987
1763912765.01959,12.9801654002388,3.263325987318739,0.14798721771377
1763912765.086311,12.9801654002388,3.263325987318739,0.14798721771377
1763912765.147408,12.9801654002388,3.263325987318739,0.14798721771377
1763912765.206868,12.9801654002388,3.263325987318739,0.14798721771377
1763912765.268066,12.9801654002388,3.263325987318739,0.14798721771377
1763912765.328323,12.980166415795896,3.2633259873227405,0.14798721789227937
1763912765.387414,12.980166415795896,3.2633259873227405,0.14798721789227937
1763912765.446465,12.980166415795896,3.2633259873227405,0.14798721789227937
1763912765.505591,12.980166415795896,3.2633259873227405,0.14798721789227937
1763912765.565402,12.980166415795896,3.2633259873227405,0.14798721789227937
1763912765.624227,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.691976,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.757625,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.811786,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.864635,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.921127,12.980167436958416,3.2633259873414215,0.1479872180766024
1763912765.9754,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.028584,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.082624,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.136047,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.189122,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.242861,12.980168650842606,3.263325987374927,0.14798721834866807
1763912766.295525,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.349486,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.402823,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.457113,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.511076,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.565001,12.980169870953276,3.2633259873985376,0.14798721864004372
1763912766.619472,12.980171090542743,3.263325803009132,0.15033948961488197
1763912766.6732,12.980171295790372,3.263321327742099,0.1569388571195787
1763912766.727831,12.980171503237022,3.2633140251024657,0.1677728915348114
1763912766.7814,12.980171712438707,3.2633039070293504,0.1828223782146824
1763912766.835638,12.980170201590562,3.2632909986770016,0.20321411907685644
1763912766.889131,12.98016550314856,3.263281123311227,0.22983787001838352
1763912766.943428,12.980155979977516,3.2632952106578386,0.26261802456469374
1763912766.996759,12.98014541278675,3.2633489029535627,0.30145759486887
1763912767.050638,12.980144958813035,3.2634592524356356,0.34625992173810977
1763912767.10458,12.980172619187716,3.2636305268979453,0.3969352387790508
1763912767.159223,12.98025086506497,3.263855951265654,0.4533637635397835
1763912767.215764,12.980401422982101,3.264130629500545,0.5154104609852408
1763912767.270378,12.98063786306903,3.2644461018112914,0.5829421020559151
1763912767.324367,12.980963110876486,3.2647917258892147,0.6558076385769864
1763912767.378579,12.981364761129601,3.2651513989332557,0.733864019149172
1763912767.432592,12.981818838465909,3.265505164260879,0.8169721262939798
1763912767.486411,12.98229589305154,3.2658321451311054,0.9049818147558425
1763912767.541193,12.982765105694105,3.2661103013900914,0.9977308995442095
1763912767.596226,12.983201937094947,3.2663260360059843,1.0940525016433948
1763912767.650931,12.983588449952626,3.2664697566981227,1.19297434608115
1763912767.706904,12.983911796816752,3.2665355269225813,1.294359513578409
1763912767.763351,12.984165413046597,3.266523044134481,1.3981062492421064
1763912767.820607,12.984351086814113,3.2664370142635493,1.5041052888204434
1763912767.87914,12.984477712677716,3.266288377768274,1.612239784186641
1763912767.935919,12.984558340892915,3.2660922784541566,1.7224198369293797
1763912767.993256,12.984608966296513,3.265866094150099,1.8345570733276735
1763912768.049283,12.98464430782707,3.2656263473822356,1.9485562001348335
1763912768.120005,12.984676210400657,3.26538648122546,2.0643441167506595
1763912768.191633,12.984712584112128,3.265156158237087,2.1818584979129176
1763912768.260716,12.984758727165357,3.264940096098344,2.301047663719574
1763912768.316956,12.984817084494733,3.2647395167795,2.4218607211628647
1763912768.372008,12.9848870454822,3.2645534021363383,2.5442705786592996
1763912768.426473,12.984967283444636,3.2643793239307723,2.668276903367617
1763912768.481355,12.985054879473413,3.264214752252307,2.793862532369786
1763912768.535951,12.985146374973189,3.2640559501567705,2.9210039330086772
1763912768.590636,12.9852390074746,3.2639010878881027,3.049686129028705
1763912768.645297,12.985330882301815,3.2637465733929933,3.179904518327637
1763912768.715543,12.98542147079515,3.2635896189378126,3.311652559625635
1763912768.785383,12.98550983347612,3.2634289761217383,3.444904884787602
