map,iteration,drones,time
3,9,1,11.87
3,10,1,12.0
3,11,1,11.62
3,12,1,11.67
3,13,1,11.69
3,14,1,11.69
3,15,1,11.77
3,16,1,11.85
3,17,1,11.78
3,18,1,12.3
3,19,1,13.39
3,20,1,11.93
3,21,1,11.84
3,22,1,12.0
3,23,1,11.88
3,24,1,11.76
3,25,1,11.8
3,26,1,11.8
3,27,1,12.04
3,28,1,12.02
3,29,1,13.1
3,30,1,13.21
3,1,2,7.3
3,2,2,6.47
3,3,2,5.69
3,4,2,6.3
3,5,2,6.22
3,6,2,12.71
3,7,2,6.46
3,8,2,6.31
3,9,2,6.05
3,10,2,6.32
3,11,2,6.28
3,12,2,7.22
3,13,2,6.02
3,14,2,6.57
3,15,2,6.29
3,16,2,6.79
3,17,2,6.08
3,18,2,6.55
3,19,2,6.16
3,20,2,6.26
3,21,2,6.22
3,22,2,6.22
3,23,2,6.46
3,24,2,6.65
3,25,2,6.19
3,26,2,6.22
3,27,2,6.23
3,28,2,6.28
3,29,2,6.54
3,30,2,5.68
3,1,3,4.21
3,2,3,4.55
3,3,3,4.23
3,4,3,4.45
3,5,3,4.15
3,6,3,4.67
3,7,3,4.07
3,8,3,4.03
3,9,3,4.12
3,10,3,4.85
3,11,3,4.16
3,12,3,4.18
3,13,3,4.23
3,14,3,4.31
3,15,3,4.12
3,16,3,4.4
3,17,3,4.11
3,18,3,4.47
3,19,3,5.01
3,20,3,4.14
3,21,3,4.16
3,22,3,4.06
3,23,3,4.45
3,24,3,5.87
3,25,3,4.58
3,26,3,4.3
3,27,3,4.1
3,28,3,4.02
3,29,3,4.4
3,30,3,4.53
4,1,1,12.32
4,2,1,12.32
4,3,1,12.31
4,4,1,12.45
4,5,1,12.37
4,6,1,12.42
4,7,1,12.01
4,8,1,12.52
4,9,1,12.28
4,10,1,12.33
4,11,1,12.1
4,12,1,12.32
4,13,1,12.56
4,14,1,12.2
4,15,1,12.29
4,16,1,11.98
4,17,1,12.31
